"employee id "," first name "," last name "," date of birth "," role level "," phone number "," gender "," email "," joining date "," address "," bank account number "," working currently"
,,,,,,,,,,,
1,"John"," Smith",1985-05-10,3,"555-1234"," M      "," john.smith@example.com  ",2015-01-01,"123 Main St, Anytown, USA",1234567890,1
2,"Jane"," Doe",1990-08-15,2,"555-5678     "," F      "," jane.doe@example.com    ",2016-02-01,"456 Maple St, Anytown, USA",2345678901,1
3,"Michael"," Johnson",1992-01-22,1,"555-9876     "," M      "," michael.johnson@example.com ",2017-03-01,"789 Oak St, Anytown, USA",3456789012,1
4,"Sarah"," Williams  ",1988-04-27,4,"555-4321     "," F      "," sarah.williams@example.com ",2018-04-01,"12 Elm St, Anytown, USA",4567890123,1
5,"David"," Brown     ",1995-11-02,2,"555-8765     "," M      "," david.brown@example.com   ",2019-05-01,"345 Pine St, Anytown, USA",5678901234,1
6,"Emily"," Taylor    ",1990-06-11,3,"555-2345     "," F      "," emily.taylor@example.com  ",2020-06-01,"678 Cedar St, Anytown, USA",6789012345,1
7,"James"," Anderson  ",1986-09-18,5,"555-6789     "," M      "," james.anderson@example.com ",2021-07-01,"901 Oakwood St, Anytown, USA",7890123456,1
8,"Ashley"," Wilson    ",1993-02-24,2,"555-3210     "," F      "," ashley.wilson@example.com ",2022-01-01,"2345 Birch Ave, Anytown, USA",8901234567,1
9,"William"," Martin    ",1989-07-29,4,"555-7654     "," M      "," william.martin@example.com ",2017-09-01,"6789 Oak St, Anytown, USA",9012345678,0
10,"Samantha"," Garcia    ",1996-12-04,3,"555-2109     "," F      "," samantha.garcia@example.com ",2019-08-01,"3456 Cedar Ave, Anytown, USA",2309164366,0
11,"Christopher"," Brown     ",1991-05-17,2,"555-6543     "," M      "," christopher.brown@example.com ",2020-07-04,"340 Elm Ave, Anytown, USA",3459024316,1
12,"John","Doe",1985-03-15,5,"555-3401","M","johndoe@example.com",2010-06-01,"345 Main St, Sometown, USA",5629842054,1
13,"Jane","Smith",1988-12-22,4,"555-8921","F","janesmith@example.com",2012-09-01,"456 Maple Ave, Sometown, USA",3490167931,1
14,"Michael","Johnson",1977-05-01,3,"555-3456","M","michaeljohnson@example.com",2015-03-01,"789 Oak Rd, Sometown, USA",3453889226,1
15,"Emily","Wilson",1992-09-05,2,"555-4567","F","emilywilson@example.com",2014-12-01,"101 Elm St, Sometown, USA",3457901847,1
16,"William","Chen",1986-11-30,1,"555-4023","M","williamchen@example.com",2019-01-01,"234 Cedar Blvd, Sometown, USA",6871370536,1
17,"Samantha","Lee",1995-02-18,5,"555-3082","F","samanthalee@example.com",2021-05-01,"567 Pine Dr, Sometown, USA",8092347699,1
18,"David","Rodriguez",1980-07-23,4,"555-7890","M","davidrodriguez@example.com",2017-09-01,"890 Cherry Ln, Sometown, USA",3902435568,1
19,"Ashley","Nguyen",1990-04-10,3,"555-8901","F","ashleynguyen@example.com",2018-06-01,"1234 Maplewood Ave, Somwtown, USA",3579024686,1
20,"Christopher","Kim",1975-12-03,2,"555-9012","M","christopherkim@example.com",2017-08-01,"4567 Oakwood Dr, Somecity, USA",5767893245,1
21,"Amanda","Hernandez",1999-01-25,1,"555-0123","F","amandahernandez@example.com",2022-03-01,"7890 Cedarwood Blvd, Somecity, USA",7890132654,1
22,"Brandon","Park",1982-06-12,5,"555-0391","M","brandonpark@example.com",2013-10-01,"1011 Pinehurst Ln, Somecity, USA",4599953314,1
23,"Kimberly","Jackson",1991-03-19,4,"555-4291","F","kimberlyng@example.com",2015-11-01,"1213 Oakdale Rd, Somecity, USA",3458906282,1
24,"Matthew","Harris",1988-08-07,3,"555-3921","M","matthewharris@example.com",2014-06-01,"1415 Maple Dr, Somecity, USA",5652098316,1
25,"Kelly","Tran",1996-12-15,2,"555-4567","F","kellytran@example.com",2020-02-01,"1617 Elmwood Ave, Somecity, USA",2349801592,1
26,"Jason","Lopez",1983-01-09,1,"555-2361","M","jasonlopez@example.com",2021-09-01,"1819 Cedar St, Somecity, USA",4580005327,1
27,"Brittany","Taylor",1993-04-21,5,"555-7291","F","brittany.taylor@example.com",2017-04-05,"340 Elm Ave, Anytown, USA",9997434578,0
28,"Ava","Garcia",1995-03-18,1,"555-0392","F","ava.garcia@example.com",2016-02-03,"507 Cedar Rd, Sometown, USA",5608631679,1
29,"Joe","Albus",1994-08-08,2,"555-8971","M","joe.albus@example.com",2018-03-03,"302 Main St, Anytown, USA",5438765215,1
30,"Daniel","Martinez",1991-10-26,1,"555-8428","M","daniel.martinez@example.com",2019-05-04,"402 Maple Blvd, Somecity, USA",2034958532,1
